	Liked	Review
0	1	wow love place
1	0	crust good
2	0	tasti textur nasti
3	1	stop late may bank holiday rick steve recommend love
4	1	select menu great price
5	0	get angri want damn pho
6	0	honeslti tast fresh
7	0	potato like rubber could tell made ahead time kept warmer
8	1	fri great
9	1	great touch
10	1	servic prompt
11	0	would go back
12	0	cashier care ever say still end wayyy overpr
13	1	tri cape cod ravoli chicken cranberri mmmm
14	0	disgust pretti sure human hair
15	0	shock sign indic cash
16	1	highli recommend
17	0	waitress littl slow servic
18	0	place worth time let alon vega
19	0	like
20	0	burritto blah
21	1	food amaz
22	1	servic also cute
23	1	could care less interior beauti
24	1	perform
25	1	right red velvet cake ohhh stuff good
26	0	never brought salad ask
27	1	hole wall great mexican street taco friendli staff
28	0	took hour get food tabl restaur food luke warm sever run around like total overwhelm
29	0	worst salmon sashimi
30	1	also combo like burger fri beer decent deal
31	0	like final blow
32	1	found place accid could happier
33	0	seem like good quick place grab bite familiar pub food favor look elsewher
34	1	overal like place lot
35	1	redeem qualiti restaur inexpens
36	1	ampl portion good price
37	0	poor servic waiter made feel like stupid everi time came tabl
38	1	first visit hiro delight
39	0	servic suck
40	1	shrimp tender moist
41	0	deal good enough would drag establish
42	0	hard judg whether side good gross melt styrofoam want eat fear get sick
43	1	posit note server attent provid great servic
44	0	frozen puck disgust worst peopl behind regist
45	1	thing like prime rib dessert section
46	0	bad food damn gener
47	1	burger good beef cook right
48	1	want sandwich go firehous
49	1	side greek salad greek dress tasti pita hummu refresh
50	1	order duck rare pink tender insid nice char outsid
51	1	came run us realiz husband left sunglass tabl
52	1	chow mein good
53	0	horribl attitud toward custom talk one custom enjoy food
54	1	portion huge
55	1	love friendli server great food wonder imagin menu
56	0	heart attack grill downtown vega absolut flat line excus restaur
57	0	much seafood like string pasta bottom
58	1	salad right amount sauc power scallop perfectli cook
59	0	rip banana rip petrifi tasteless
60	0	least think refil water struggl wave minut
61	1	place receiv star appet
62	1	cocktail handmad delici
63	1	definit go back
64	1	glad found place
65	1	great food servic huge portion give militari discount
66	1	alway great time do gringo
67	1	updat went back second time still amaz
68	0	got food appar never heard salt batter fish chewi
69	1	great way finish great
70	1	deal includ tast drink jeff went beyond expect
71	1	realli realli good rice time
72	0	servic meh
73	0	took min get milkshak noth chocol milk
74	0	guess known place would suck insid excalibur use common sens
75	0	scallop dish quit appal valu well
76	0	time bad custom servic
77	1	sweet potato fri good season well
78	1	today second time lunch buffet pretti good
79	0	much good food vega feel cheat wast eat opportun go rice compani
80	0	come like experienc underwhelm relationship parti wait person ask break
81	0	walk place smell like old greas trap other eat
82	0	turkey roast beef bland
83	1	place
84	0	pan cake everyon rave tast like sugari disast tailor palat six year old
85	1	love pho spring roll oh yummi tri
